"MJD" "Flux" "Error"
56753.66173 3.1627648 0.047350073
56753.85992 3.129278 0.043730665
56754.53915 2.9940484 0.04760445
56754.86039 3.1622867 0.04872832
56755.01246 2.9998824 0.04657899
56755.5925 3.071862 0.048273477
56755.79781 3.1202644 0.047005077
56756.26401 3.2110636 0.050403664
56756.79358 3.1686713 0.04800304
56757.0098 3.170092 0.04668747
56757.47367 3.1641 0.0470316
56757.80507 3.108865 0.046097714
56758.01014 3.1086895 0.04571744
56758.46041 3.1235363 0.04562701
56758.72717 3.1302455 0.045666887
56759.32777 3.1846125 0.04635542
56759.46041 3.130694 0.04572998
56759.79445 3.058558 0.044929026
56760.53426 3.185128 0.04660556
56761.32812 3.206411 0.045420686
56761.53573 3.206749 0.04673081
56761.7969 3.224631 0.045885416
56762.32868 3.0379264 0.04955716
56762.53945 3.1889256 0.04865822
56763.52909 3.188639 0.04586502
56763.87859 3.1686557 0.046047204
56764.2618 3.20623 0.048825997
56764.61037 3.2692172 0.05144687
56765.19436 3.2332915 0.05309069
56765.59467 3.2306524 0.050971383
56765.87793 3.241003 0.05397263
56766.21604 3.2745315 0.052948146
56766.87681 3.139786 0.04919677
56767.94077 3.1960047 0.051742527
56768.87755 3.5275954 0.05190946
56770.33948 3.543992 0.052548124
56770.67225 3.656028 0.0524418
56774.21615 3.7326482 0.060293817
56775.0732 3.678131 0.053215136
56775.53323 3.722668 0.05374701
56775.73425 3.6675222 0.05007851
56776.46861 3.573539 0.05756987
56776.86818 3.605627 0.06586655
56777.01481 3.344291 0.052182926
56778.08013 3.5339495 0.054139016
56778.87406 3.403229 0.053884424
56779.34576 3.5355602 0.052351094
56779.74588 3.372011 0.050911916
56780.01454 3.556775 0.05774109
56780.08105 3.5463684 0.05638581
56780.61224 3.432204 0.05100031
56781.59248 3.4147696 0.051274674
56781.80349 3.3969846 0.048929345
56782.20013 3.443658 0.05288897
56782.47172 3.51756 0.05405467
56782.86098 3.4643326 0.05429798
56783.05946 3.4157525 0.05276365
56783.45892 3.659681 0.054546317
56784.53504 3.790837 0.05811821
56785.06059 3.839492 0.0575551
56785.86059 3.7837307 0.053623507
56786.4692 3.7078152 0.05573948
56786.80231 3.7410796 0.05365805
56787.20718 3.513024 0.0547466
56787.47598 3.68666 0.055963843
56787.79978 3.5927306 0.054717746
56788.53992 3.6824405 0.05304077
56789.1429 3.505009 0.05566912
56789.46108 3.4773284 0.051572607
56790.1299 3.393533 0.052219793
